PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN
"Según lo dispuesto en el Real Decreto 1720/2007, indique cuál de los siguientes aspectos deberá contener adicionalmente el documento de seguridad si fueran de aplicación a los ficheros, las medidas de seguridad de nivel medio o las medidas de seguridad de nivel alto:",Los controles periódicos que se deban realizar para verificar el cumplimiento de lo dispuesto en el propio documento de seguridad.,Funciones y obligaciones del personal en relación con el tratamiento de los datos de carácter personal incluidos en los ficheros.,Los procedimientos de realización de copias de respaldo y de recuperación de los datos en los ficheros o tratamientos automatizados.,"Procedimiento de notificación, gestión y respuesta ante las incidencias.",A,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"Según el Esquema Nacional de Seguridad (ENS), Real Decreto 3/2010, en lo relativo a la auditoría:","Los sistemas de información de categoría BÁSICA, o inferior, no necesitarán realizar una auditoría. Bastará una autoevaluación realizada por el mismo personal que administra el sistema de información, o en quien este delegue.","Los sistemas de información de categoría MEDIA no necesitarán realizar una auditoría. Bastará una autoevaluación realizada por el mismo personal que administra el sistema de información, o en quien éste delegue.","Los sistemas de información de categoría BÁSICA, o inferior, no necesitarán realizar una auditoría. Bastará una autoevaluación realizada en cualquier caso por personal de seguridad ajeno al que administra el sistema de información.","El ENS no considera suficiente una autoevaluación en ningún sistema de información de categoría BÁSICA, MEDIA o ALTA.",A,B1,A.deGrado,PREPARATIC24,2016,,,,,46,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"Según la NTI de Política de gestión de documentos electrónicos, el esquema de metadatos que incluye los metadatos mínimos obligatorios, definidos en las NTI de documento electrónico y expediente electrónico, así como otros metadatos complementarios pertinentes en una política de gestión y conservación de documentos electrónicos es:",MARC 12.,Dublin Core.,e-EMGDE.,e-MARC.,C,B1,A.deGrado,PREPARATIC24,2016,,,,,44,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"Señale, de los siguientes estándares, cuál NO está recogido en la Norma Técnica de Interoperabilidad NTI de Catálogo de estándares en la categoría de ""Formatos ficheros - Cartografía y sistemas de información geográfica"":",SVG,WFS,GML,WMS,A,B1,A.deGrado,PREPARATIC24,2016,,,,,44,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
¿Cuál es el nivel de resolución mínimo que establece la NTI de Digitalización de Documentos para imágenes electrónicas?,"200 píxeles por pulgada (ppp), para imágenes obtenidas en blanco/negro, y escala de grises, y de 300 ppp para imágenes en color.","300 ppp, tanto para imágenes obtenidas en blanco y negro, color o escala de grises.","300 ppp, para imágenes obtenidas en blanco/negro, y escala de grises, y de 200 ppp para imágenes en color.","200 ppp, tanto para imágenes obtenidas en blanco y negro, color o escala de grises.",D,B1,A.deGrado,PREPARATIC24,2016,,,,,44,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"En el Real Decreto 3/2010, Esquema Nacional de Seguridad, se define como ""la propiedad o característica consistente en que las actuaciones de una entidad pueden ser imputadas exclusivamente a dicha entidad"" a la:",Confidencialidad.,Integridad.,Autenticidad.,Trazabilidad.,D,B1,A.deGrado,PREPARATIC24,2016,,,,,46,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"Señale cuál de las siguientes respuestas NO se considera un principio específico de la interoperabilidad, según indica el Real Decreto 4/2010 en su artículo 4:",La interoperabilidad como cualidad integral.,Reevaluación periódica de la interoperabilidad.,Carácter multidimensional de la interoperabilidad.,Enfoque de soluciones multilaterales.,B,B1,A.deGrado,PREPARATIC24,2016,,,,,43,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"El formato para la firma electrónica de contenido, atendiendo a la Norma Técnica de Interoperabilidad de Catálogo de estándares, es:","XAdES (XML Advanced Electronic Signatures), según la especificación técnica ETSI TS 101 903, versión 1.2.2 y 1.3.2.","CAdES (CMS Advanced Electronic Signatures), según la especificación técnica ETSI TS 101 733, versión 1.6.3 y 1.7.4.","PAdES (PDF Advanced Electronic Signatures), según la especificación técnica ETSI TS 102 778-3.",Todas las anteriores.,D,B1,A.deGrado,PREPARATIC24,2016,,,,,44,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"La máquina virtual usada por el sistema operativo Android en versiones anteriores a la 4.4, se denomina:",ART.,Dalvik.,Java VM.,APK.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,59,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
La arquitectura GRID está compuesta por capas. La capa más baja y donde se encuentran los recursos computacionales y de almacenamiento que serán compartidos por los protocolos grid se denomina:,Fabric.,Connectivity.,Resource.,Collective.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,49,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
Señale cuál de los siguientes conceptos NO está relacionado con el sistema de archivos distribuido Lustre:,DSS (Distributed Storage Server).,OST (Object Storage Target).,OSS (Object Storage Server).,MDS (MetaData Server).,A,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
¿Cuál de las siguientes afirmaciones es cierta sobre el gestor de volúmenes lógicos de Linux LVM 2.0 (Logical Volume Manager Versión 2)?,Un volumen lógico (LV) puede pertenecer a distintos grupos de volúmenes lógicos (LVG).,Un disco físico solo puede pertenecer a un volumen físico (PV).,Un grupo de LVG se puede formar a partir de varios PV.,El número de LV incluidos en un grupo de LVG debe ser siempre par.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"Comparando el sistema de archivos Ext4 frente a Ext3, señale la opción correcta:",Ext4 soporta sistemas de ficheros de hasta 1024 TB frente a los 16 TB de Ext3.,La migración de un sistema de ficheros Ext3 a uno Ext4 requiere reformatear el sistema de archivos afectado.,Ext4 soporta ficheros de hasta 16 TB frente a los 2 TB de Ext3.,"Ext4 introduce la capacidad de journaling (registro por diario), no presente en Ext3.",C,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"El sistema operativo iOS presente en dispositivos Apple, cuenta con cuatro capas de abstracción, entre las que NO se encuentra:",Capa núcleo (Core OS).,Capa de servicios principales.,Capa Cocoa Touch.,Capa de servicios de red.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,59,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"En un sistema operativo, cuando hay suficiente memoria para ubicar un nuevo proceso, pero no se le puede asignar porque el espacio disponible no está contiguo, se le denomina:",Segmentación.,Paginación.,Fragmentación externa.,Fragmentación interna.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,56,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
Señale la respuesta correcta respecto a un sistema de archivos de UNIX System V:,Posee una estructura relacional de archivos.,"En el sistema de archivos se encuentra el bloque de arranque. El superbloque, la lista de nodos y los bloques de datos se leen de la BIOS directamente.",La lista de i-nodos se encuentra a continuación del superbloque.,Los dispositivos y periféricos no son archivos.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
Señale cuál de las siguientes respuestas permitiría realizar un montaje de un CD-ROM en un sistema operativo Linux:,setup -t device/cdrom/cab1,install -t iso9660 /dev/hdb /mnt/cdrom,mount -t iso9660 /dev/hdb /mnt/cdrom,grep -t iso9660 /dev/hdb /mnt/cdrom,C,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
¿Cuál de las siguientes NO es una distribución LINUX?,Fedora.,Mandriva.,Solaris.,Ubuntu.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
El algoritmo de Peterson corresponde a:,Un algoritmo de ordenación de listas.,Un método de ordenación en un sistema distribuido.,Una política de sustitución de páginas al producirse un fallo de página.,Una solución al problema de la exclusión mutua.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,56,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"Señale la respuesta FALSA, en relación con el algoritmo de planificación SRTF (Shortest Remaining Time First):",Es una versión de SJF.,Cada vez que entran trabajos se interrumpe el actual y se compara el tiempo restante de éste con el de los entrantes.,"Si hay un trabajo nuevo más corto que lo que le falta al actual en CPU, echamos el actual y metemos el nuevo.",Cada proceso tiene un tiempo límite de uso de CPU llamado quantum.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,56,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"De entre los siguientes, ¿quién es el creador del lenguaje de programación C?",Linus Torvalds.,Dennis Ritchie.,Richard Stallman.,Bill Gates.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,56,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"Dentro del protocolo TCP/IP, el comando arp -a:",Muestra la tabla RARP con la relación entre direcciones MAC e IP.,Muestra la tabla ARP con la relación entre direcciones IP y MAC.,Muestra la tabla ARP con la relación entre direcciones IP y puertos UDP.,Muestra la tabla de direcciones IP con la relación entre direcciones IP y puertos TCP.,B,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"La unidad de datos intercambiada en la capa de transporte, según el modelo OSI de ISO, es:",TPDU.,Paquete.,Trama.,TCDU.,A,B4,A.deGrado,PREPARATIC24,2016,,,,,105,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
Indique el número de puerto que debería usarse sí se quiere configurar un servicio para usar el protocolo de configuración dinámica de host DHCP para IPv6:,58,169,389,547,D,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
¿Cuál es la dirección de red de una dirección IP: 192.168.30.200 cuya máscara es 255.255.255.128?,192.168.30.0,192.168.30.128,192.168.30.255,192.168.30.200,B,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
¿Cuál de las siguientes respuestas incluye todas las actividades que se realizan en cada ciclo del modelo del ciclo de vida en espiral?,"Determinación de objetivos, Análisis de riesgos, Desarrollo y prueba y Planificación.","Análisis, Diseño, Construcción y Validación.","Estudio de viabilidad, Análisis de requisitos, Especificación de requisitos, Desarrollo y Pruebas","Educción de Requisitos, Generación de Prototipos, Adaptación de Prototipos y Desarrollo final.",A,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
Señale la respuesta INCORRECTA en relación con el modelo de proceso unificado de desarrollo software:,Modelo de proceso inspirado en los modelos de ciclo de vida iterativos para el desarrollo de sistemas software.,"Los proyectos se organizan en cinco fases: Inicio, Elaboración, Construcción, Transición y Entrega.",Es un modelo centrado en la arquitectura.,Está dirigido por casos de uso.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
Los procesos de la estructura principal de Métrica v3 son:,"Planificación, Análisis, Construcción y Mantenimiento de sistemas de información.","Análisis, Desarrollo y Mantenimiento de sistemas de información.","Análisis, Desarrollo, Pruebas y Mantenimiento de sistemas de información.","Planificación, Desarrollo y Mantenimiento de sistemas de información.",D,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"En el PERT, el tiempo last del último suceso:",Es siempre cero.,Es igual a su tiempo early.,Es mayor que su tiempo early.,Es menor que su tiempo early.,B,B1,A.deGrado,PREPARATIC24,2016,,,,,33,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
Señala la respuesta INCORRECTA en relación con el método Delphi:,"Barry Boehm y John A. Farquhar originaron la variante del método Delphi denominada de ""banda ancha"" (wideband).","En el método Delphi tradicional los expertos rellenan un impreso de manera anónima, pueden hacer preguntas al coordinador pero no entre ellos.","En la variación ""banda ancha"" no es necesario que los participantes se reúnan con el coordinador.",En el método tradicional el coordinador ofrece a cada experto el valor medio de las opiniones recogidas y pide una nueva estimación anónima indicando las razones de las posibles modificaciones.,C,B1,A.deGrado,PREPARATIC24,2016,,,,,38,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
¿Qué interfaces define Métrica v3?,"Aseguramiento de la Calidad, Seguridad, Gestión del Mantenimiento y Gestión de Proyectos.","Aseguramiento de la Calidad, Gestión del Capital Humano, Seguridad y Gestión de Proyectos.","Aseguramiento de la Calidad, Seguridad, Gestión de Configuración y Gestión de Proyectos.","Seguridad, Mejora Continua, Gestión de Configuración y Gestión de Proyectos.",C,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
¿A qué tipo de metodologías asignaría SCRUM?,Metodologías de Tiempo Real.,Metodologías Ágiles.,Metodologías Orientadas a Objetos.,Metodologías Estructuradas Orientadas a Datos Jerárquicos.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,84,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
